ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
38	(1Pl inalienable possessor)	Jamsay_Douentza	ɛ̀mɛ̀	ɛ̀ m ɛ̀
39	(1Pl inalienable possessor)	Nanga	î:	îː
40	(1Pl inalienable possessor)	Perge_Tegu	ì	ì
41	(1Pl inalienable possessor)	Tebul_Ure	í	í
42	(1Pl inalienable possessor)	Tiranige	nì	n ì
43	(1Pl inalienable possessor)	Yanda_Dom	yè	j è
44	(1Pl inalienable possessor)	Yorno_So	émɛ́	é m ɛ́
45	(1Pl inalienable possessor)	Donno_So	ɛ́mmɛ̀	ɛ́ m m ɛ̀
46	(1Pl independent pronoun)	Ampari	ní	n í
47	(1Pl independent pronoun)	Ben_Tey	î:	îː
48	(1Pl independent pronoun)	Bunoge	mìyá	m ì j á
49	(1Pl independent pronoun)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́
50	(1Pl independent pronoun)	Najamba	í	í
51	(1Pl independent pronoun)	Nanga	î:	îː
52	(1Pl independent pronoun)	Penange	ḿbé	ḿ b é
53	(1Pl independent pronoun)	Perge_Tegu	í	í
54	(1Pl independent pronoun)	Tebul_Ure	í	í
55	(1Pl independent pronoun)	Tiranige	nì	n ì
56	(1Pl independent pronoun)	Tiranige	níwⁿ	n í w̃
57	(1Pl independent pronoun)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
58	(1Pl independent pronoun)	Tomo_Kan_Segue	bé	b é
59	(1Pl independent pronoun)	Toro_Tegu	í	í
60	(1Pl independent pronoun)	Yanda_Dom	yé	j é
61	(1Pl independent pronoun)	Yorno_So	émɛ́	é m ɛ́
62	(1Pl independent pronoun)	Dogul_Dom	í	í
63	(1Pl independent pronoun)	Donno_So	ɛ́mmɛ̀	ɛ́ m m ɛ̀
64	(1Pl subject pronominal)	Ampari	ǹ	ǹ
65	(1Pl subject pronominal)	Ben_Tey	ỳ∴	j̀
66	(1Pl subject pronominal)	Bunoge	ŋ́	ŋ́
67	(1Pl subject pronominal)	Jamsay_Douentza	y	j
68	(1Pl subject pronominal)	Najamba	y	j
69	(1Pl subject pronominal)	Nanga	ỳ∴	j̀
70	(1Pl subject pronominal)	Penange	ŋ̀	ŋ̀
71	(1Pl subject pronominal)	Perge_Tegu	y	j
72	(1Pl subject pronominal)	Tebul_Ure	yⁿ	j̃
73	(1Pl subject pronominal)	Tiranige	ní	n í
74	(1Pl subject pronominal)	Tiranige	nì	n ì
75	(1Pl subject pronominal)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
76	(1Pl subject pronominal)	Tomo_Kan_Segue	bè	b è
77	(1Pl subject pronominal)	Toro_Tegu	í	í
78	(1Pl subject pronominal)	Yanda_Dom	y	j
79	(1Pl subject pronominal)	Mombo	Ǹ-	ǹ
80	(1Pl subject pronominal)	Tomo_Kan_Diangassagou	à	à
81	(1Pl subject pronominal)	Donno_So	-ŋ	ŋ
82	(1Pl subject pronominal)	Donno_So	-ʸŋ	ʸŋ
83	(1Sg accusative, irregular only)	Nanga	ǹjíŋ	ǹ dʒ í ŋ
84	(1Sg accusative, irregular only)	Togo_Kan	má	m á
85	(1Sg accusative, irregular only)	Tomo_Kan_Segue	mìní	m ì n í
86	(1Sg accusative, irregular only)	Yorno_So	míỳ	m í j̀
87	(1Sg alienable possessor, all forms)	Jamsay_Douentza	má	m á
88	(1Sg alienable possessor, all forms)	Perge_Tegu	má	m á
89	(1Sg alienable possessor, all forms)	Tebul_Ure	kɔ̌:	k ɔ̌ː
90	(1Sg alienable possessor, all forms)	Tiranige	mɛ̀:	m ɛ̀ː
91	(1Sg alienable possessor, all forms)	Tiranige	mɛ̌:	m ɛ̌ː
92	(1Sg alienable possessor, all forms)	Yanda_Dom	míyⁿɛ̀	m í j̃ ɛ̀
93	(1Sg alienable possessor, all forms)	Yorno_So	mɔ̀	m ɔ̀
94	(1Sg alienable possessor, all forms)	Donno_So	m̀-mɔ̀	m̀ m ɔ̀
95	(1Sg all-purpose possessor)	Ampari	ǹ	ǹ
96	(1Sg all-purpose possessor)	Bunoge	ŋ̀	ŋ̀
97	(1Sg all-purpose possessor)	Najamba	mí	m í
98	(1Sg all-purpose possessor)	Najamba	mí bɔ̀	m í # b ɔ̀
99	(1Sg all-purpose possessor)	Najamba	mí yɛ̀	m í # j ɛ̀
100	(1Sg all-purpose possessor)	Nanga	yɛ᷈:	j ɛ᷈ː
101	(1Sg all-purpose possessor)	Nanga	kɔ᷈:	k ɔ᷈ː
102	(1Sg all-purpose possessor)	Penange	ḿ	ḿ
103	(1Sg all-purpose possessor)	Penange	m̀	m̀
104	(1Sg all-purpose possessor)	Togo_Kan	mà	m à
105	(1Sg all-purpose possessor)	Tomo_Kan_Segue	ǹ	ǹ
106	(1Sg all-purpose possessor)	Toro_Tegu	m̀	m̀
107	(1Sg dative (irregular)	Jamsay_Douentza	mìń	m ì ń
108	(1Sg dative (irregular)	Najamba	ḿ mà	ḿ # m à
109	(1Sg dative (irregular)	Nanga	bàrⁿí	b à r̃ í
110	(1Sg dative (irregular)	Perge_Tegu	mìrⁿú	m ì r̃ ú
111	(1Sg dative (irregular)	Togo_Kan	máǹ	m á ǹ
112	(1Sg dative (irregular)	Tomo_Kan_Segue	ǹdó	ǹ d ó
113	(1Sg inalienable possessor)	Jamsay_Douentza	mì	m ì
114	(1Sg inalienable possessor)	Perge_Tegu	mì	m ì
115	(1Sg inalienable possessor)	Tebul_Ure	mí	m í
116	(1Sg inalienable possessor)	Tiranige	mì	m ì
117	(1Sg inalienable possessor)	Yanda_Dom	mì	m ì
118	(1Sg inalienable possessor)	Yorno_So	mú	m ú
119	(1Sg inalienable possessor)	Donno_So	mí	m í
120	(1Sg independent pronoun)	Ampari	mi	m i
121	(1Sg independent pronoun)	Bangime	mí	m í
122	(1Sg independent pronoun)	Bankan_Tey	í	í
123	(1Sg independent pronoun)	Ben_Tey	í	í
124	(1Sg independent pronoun)	Bunoge	mì	m ì
125	(1Sg independent pronoun)	Dogul_Dom	mí	m í
126	(1Sg independent pronoun)	Jamsay_Douentza	mí	m í
127	(1Sg independent pronoun)	Jamsay_Mondoro	mí	m í
128	(1Sg independent pronoun)	Mombo	mí:	m íː
129	(1Sg independent pronoun)	Najamba	mí	m í
130	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ĩ̌ː
131	(1Sg independent pronoun)	Penange	mí	m í
132	(1Sg independent pronoun)	Perge_Tegu	mí	m í
133	(1Sg independent pronoun)	Sangha_So	mú	m ú
134	(1Sg independent pronoun)	Tebul_Ure	mí	m í
135	(1Sg independent pronoun)	Tiranige	mì	m ì
136	(1Sg independent pronoun)	Tiranige	míwⁿ	m í w̃
137	(1Sg independent pronoun)	Togo_Kan	íⁿ	ĩ́
138	(1Sg independent pronoun)	Tommo_So	mí	m í
139	(1Sg independent pronoun)	Tomo_Kan_Diangassagou	mí	m í
140	(1Sg independent pronoun)	Tomo_Kan_Segue	mí	m í
141	(1Sg independent pronoun)	Toro_Tegu	mí	m í
142	(1Sg independent pronoun)	Toro_Tegu	m̀ᵇí	m̀ í
143	(1Sg independent pronoun)	Yanda_Dom	mí	m í
144	(1Sg independent pronoun)	Yorno_So	mú	m ú
145	(1Sg independent pronoun)	Donno_So	mí	m í
146	(1Sg subject pronominal)	Ampari	ǹ	ǹ
147	(1Sg subject pronominal)	Ben_Tey	ỳ	j̀
148	(1Sg subject pronominal)	Bunoge	ŋ̀	ŋ̀
149	(1Sg subject pronominal)	Jamsay_Douentza	m	m
150	(1Sg subject pronominal)	Najamba	m	m
151	(1Sg subject pronominal)	Nanga	ỳ	j̀
152	(1Sg subject pronominal)	Penange	ŋ́	ŋ́
153	(1Sg subject pronominal)	Perge_Tegu	m	m
154	(1Sg subject pronominal)	Tebul_Ure	m	m
155	(1Sg subject pronominal)	Tiranige	yⁿ	j̃
156	(1Sg subject pronominal)	Togo_Kan	í	í
157	(1Sg subject pronominal)	Tomo_Kan_Segue	ìⁿ	ĩ̀
158	(1Sg subject pronominal)	Toro_Tegu	m̀	m̀
159	(1Sg subject pronominal)	Yanda_Dom	m	m
160	(1Sg subject pronominal)	Yorno_So	m	m
161	(1Sg subject pronominal)	Mombo	N-	n
162	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	ìⁿ 	ĩ̀ # �
163	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	 ŋ̀	� # ŋ̀
164	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	mí-	m í
165	(1Sg subject pronominal)	Donno_So	-ŋ	ŋ
166	(1Sg subject pronominal)	Donno_So	-m	m
167	(2Pl alienable possessor, all forms)	Jamsay_Douentza	é	é
168	(2Pl alienable possessor, all forms)	Nanga	û: gɔ̀	ûː # ɡ ɔ̀
169	(2Pl alienable possessor, all forms)	Nanga	û: yɛ̀	ûː # j ɛ̀
170	(2Pl alienable possessor, all forms)	Perge_Tegu	é	é
171	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀	b í ɡ ɛ̀
172	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀mbɔ̀	b í ɡ ɛ̀ m b ɔ̀
173	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ́	ɛ̀ w ɛ́
174	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ̀	ɛ̀ w ɛ̀
175	(2Pl alienable possessor, all forms)	Yanda_Dom	wɛ̂:ⁿ	w ɛ̃̂ː
176	(2Pl alienable possessor, all forms)	Yorno_So	ɛ̀:	ɛ̀ː
177	(2Pl alienable possessor, all forms)	Donno_So	è-mɔ̀	è m ɔ̀
178	(2Pl all-purpose possessor)	Ampari	é	é
179	(2Pl all-purpose possessor)	Ben_Tey	û:	ûː
180	(2Pl all-purpose possessor)	Bunoge	á	á
181	(2Pl all-purpose possessor)	Najamba	é	é
182	(2Pl all-purpose possessor)	Najamba	ɛ́ bɔ̀	ɛ́ # b ɔ̀
183	(2Pl all-purpose possessor)	Najamba	ɛ́ yɛ̀	ɛ́ # j ɛ̀
184	(2Pl all-purpose possessor)	Penange	àbè	à b è
185	(2Pl all-purpose possessor)	Togo_Kan	é	é
186	(2Pl all-purpose possessor)	Tomo_Kan_Segue	è	è
187	(2Pl all-purpose possessor)	Toro_Tegu	á	á
188	(2Pl inalienable possessor)	Jamsay_Douentza	è	è
189	(2Pl inalienable possessor)	Nanga	û:	ûː
190	(2Pl inalienable possessor)	Perge_Tegu	è	è
191	(2Pl inalienable possessor)	Tebul_Ure	bí	b í
192	(2Pl inalienable possessor)	Tiranige	è	è
193	(2Pl inalienable possessor)	Yanda_Dom	wò	w ò
194	(2Pl inalienable possessor)	Yorno_So	é	é
195	(2Pl inalienable possessor)	Donno_So	é	é
196	(2Pl independent pronoun)	Ampari	é	é
197	(2Pl independent pronoun)	Ben_Tey	û:	ûː
198	(2Pl independent pronoun)	Bunoge	òyá	ò j á
199	(2Pl independent pronoun)	Jamsay_Douentza	é	é
200	(2Pl independent pronoun)	Najamba	é	é
201	(2Pl independent pronoun)	Nanga	û:	ûː
202	(2Pl independent pronoun)	Penange	ábé	á b é
203	(2Pl independent pronoun)	Perge_Tegu	é	é
204	(2Pl independent pronoun)	Tebul_Ure	bí	b í
205	(2Pl independent pronoun)	Tiranige	è	è
206	(2Pl independent pronoun)	Tiranige	éwⁿ	é w̃
207	(2Pl independent pronoun)	Togo_Kan	é	é
208	(2Pl independent pronoun)	Tomo_Kan_Segue	é	é
209	(2Pl independent pronoun)	Toro_Tegu	á	á
210	(2Pl independent pronoun)	Yanda_Dom	wó	w ó
211	(2Pl independent pronoun)	Yorno_So	é	é
212	(2Pl independent pronoun)	Dogul_Dom	é	é
213	(2Pl independent pronoun)	Donno_So	é	é
214	(2Pl subject pronominal)	Ampari	è	è
215	(2Pl subject pronominal)	Ben_Tey	ẁ∴	ẁ
216	(2Pl subject pronominal)	Bunoge	á	á
217	(2Pl subject pronominal)	Jamsay_Douentza	bè	b è
218	(2Pl subject pronominal)	Najamba	e:	eː
219	(2Pl subject pronominal)	Najamba	ɛ:	ɛː
220	(2Pl subject pronominal)	Nanga	ẁ∴	ẁ
221	(2Pl subject pronominal)	Penange	à	à
222	(2Pl subject pronominal)	Perge_Tegu	bè	b è
223	(2Pl subject pronominal)	Tebul_Ure	yⁿ	j̃
224	(2Pl subject pronominal)	Tiranige	é	é
225	(2Pl subject pronominal)	Tiranige	è	è
226	(2Pl subject pronominal)	Togo_Kan	é	é
227	(2Pl subject pronominal)	Tomo_Kan_Segue	è	è
228	(2Pl subject pronominal)	Toro_Tegu	á	á
229	(2Pl subject pronominal)	Yanda_Dom	y	j
230	(2Pl subject pronominal)	Yorno_So	y	j
231	(2Pl subject pronominal)	Mombo	e-	e
232	(2Pl subject pronominal)	Tomo_Kan_Diangassagou	è	è
233	(2Pl subject pronominal)	Donno_So	-ŋ̀	ŋ̀
234	(2Pl subject pronominal)	Donno_So	-ʸŋ̀	ʸŋ
235	(2Sg alienable possessor, all forms)	Jamsay_Douentza	ú	ú
236	(2Sg alienable possessor, all forms)	Nanga	ú gɔ̀	ú # ɡ ɔ̀
237	(2Sg alienable possessor, all forms)	Nanga	ú yɛ̂	ú # j ɛ̂
238	(2Sg alienable possessor, all forms)	Perge_Tegu	ú	ú
239	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀	ú w ɔ̀
240	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀mbɔ̀	ú w ɔ̀ m b ɔ̀
241	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ́	ɔ̀ w ɛ́
242	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ̀	ɔ̀ w ɛ̀
243	(2Sg alienable possessor, all forms)	Yanda_Dom	ɔ́yⁿɛ̀	ɔ́ j̃ ɛ̀
244	(2Sg alienable possessor, all forms)	Yorno_So	ɔ̀:	ɔ̀ː
245	(2Sg alienable possessor, all forms)	Donno_So	ù-mɔ̀	ù m ɔ̀
246	(2Sg all-purpose possessor)	Ampari	ó	ó
247	(2Sg all-purpose possessor)	Ben_Tey	ú	ú
248	(2Sg all-purpose possessor)	Bunoge	à	à
249	(2Sg all-purpose possessor)	Najamba	ó	ó
250	(2Sg all-purpose possessor)	Najamba	ɔ́ bɔ̀	ɔ́ # b ɔ̀
251	(2Sg all-purpose possessor)	Najamba	ɔ́ yɛ̀	ɔ́ # j ɛ̀
252	(2Sg all-purpose possessor)	Penange	á	á
253	(2Sg all-purpose possessor)	Penange	à	à
254	(2Sg all-purpose possessor)	Togo_Kan	ú	ú
255	(2Sg all-purpose possessor)	Tomo_Kan_Segue	à	à
256	(2Sg all-purpose possessor)	Toro_Tegu	ú	ú
257	(2Sg inalienable possessor)	Jamsay_Douentza	ù	ù
258	(2Sg inalienable possessor)	Nanga	ú	ú
259	(2Sg inalienable possessor)	Perge_Tegu	ù	ù
260	(2Sg inalienable possessor)	Tebul_Ure	ú	ú
261	(2Sg inalienable possessor)	Tiranige	ò	ò
262	(2Sg inalienable possessor)	Yanda_Dom	ó	ó
263	(2Sg inalienable possessor)	Yorno_So	ú	ú
264	(2Sg inalienable possessor)	Donno_So	ú	ú
265	(2Sg independent pronoun)	Ampari	ó	ó
266	(2Sg independent pronoun)	Bangime	à	à
267	(2Sg independent pronoun)	Bankan_Tey	ú	ú
268	(2Sg independent pronoun)	Ben_Tey	ú	ú
269	(2Sg independent pronoun)	Bunoge	ò	ò
270	(2Sg independent pronoun)	Dogul_Dom	ó	ó
271	(2Sg independent pronoun)	Jamsay_Douentza	ú	ú
272	(2Sg independent pronoun)	Jamsay_Mondoro	í	í
273	(2Sg independent pronoun)	Mombo	ó:	óː
274	(2Sg independent pronoun)	Najamba	ó	ó
275	(2Sg independent pronoun)	Nanga	ú	ú
276	(2Sg independent pronoun)	Penange	ó	ó
277	(2Sg independent pronoun)	Perge_Tegu	ú	ú
278	(2Sg independent pronoun)	Sangha_So	ú	ú
279	(2Sg independent pronoun)	Tebul_Ure	ú	ú
280	(2Sg independent pronoun)	Tiranige	ò	ò
281	(2Sg independent pronoun)	Tiranige	ó:	óː
282	(2Sg independent pronoun)	Togo_Kan	ú	ú
283	(2Sg independent pronoun)	Tommo_So	ú	ú
284	(2Sg independent pronoun)	Tomo_Kan_Diangassagou	á	á
285	(2Sg independent pronoun)	Tomo_Kan_Segue	á	á
286	(2Sg independent pronoun)	Toro_Tegu	ú	ú
287	(2Sg independent pronoun)	Yanda_Dom	ó	ó
288	(2Sg independent pronoun)	Yorno_So	ú	ú
289	(2Sg independent pronoun)	Donno_So	ú	ú
290	(2Sg subject pronominal)	Ampari	ò	ò
291	(2Sg subject pronominal)	Ben_Tey	ẁ	ẁ
292	(2Sg subject pronominal)	Bunoge	à	à
293	(2Sg subject pronominal)	Jamsay_Douentza	w	w
294	(2Sg subject pronominal)	Najamba	o:	oː
295	(2Sg subject pronominal)	Najamba	ɔ:	ɔː
296	(2Sg subject pronominal)	Nanga	ẁ	ẁ
297	(2Sg subject pronominal)	Penange	á	á
298	(2Sg subject pronominal)	Perge_Tegu	w	w
299	(2Sg subject pronominal)	Tebul_Ure	wⁿ	w̃
300	(2Sg subject pronominal)	Tiranige	w	w
301	(2Sg subject pronominal)	Togo_Kan	ú	ú
302	(2Sg subject pronominal)	Tomo_Kan_Segue	à	à
303	(2Sg subject pronominal)	Toro_Tegu	ú	ú
304	(2Sg subject pronominal)	Yanda_Dom	w	w
305	(2Sg subject pronominal)	Yorno_So	w	w
306	(2Sg subject pronominal)	Mombo	a-	a
307	(2Sg subject pronominal)	Tomo_Kan_Diangassagou	bè	b è
308	(2Sg subject pronominal)	Donno_So	-ẁ	ẁ
309	(3Pl all-purpose alienable possessor)	Jamsay_Douentza	bé	b é
310	(3Pl all-purpose alienable possessor)	Nanga	bû: gɔ̀	b ûː # ɡ ɔ̀
311	(3Pl all-purpose alienable possessor)	Nanga	bû: yɛ̀	b ûː # j ɛ̀
312	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀	b ú ɡ ɔ̀
313	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀mbɔ̀	b ú ɡ ɔ̀ m b ɔ̀
314	(3Pl all-purpose alienable possessor)	Tiranige	cɛ̀wɛ́	tʃ ɛ̀ w ɛ́
315	(3Pl all-purpose alienable possessor)	Yanda_Dom	bwɛ̂:ⁿ	b w ɛ̃̂ː
316	(3Pl all-purpose alienable possessor)	Donno_So	bè-mɔ̀	b è m ɔ̀
317	(3Pl all-purpose inalienable possessor)	Jamsay_Douentza	bè	b è
318	(3Pl all-purpose inalienable possessor)	Nanga	bû:	b ûː
319	(3Pl all-purpose inalienable possessor)	Tebul_Ure	bú	b ú
320	(3Pl all-purpose inalienable possessor)	Tiranige	cè	tʃ è
321	(3Pl all-purpose inalienable possessor)	Yanda_Dom	bò	b ò
322	(3Pl all-purpose inalienable possessor)	Donno_So	bé	b é
323	(3Pl all-purpose independent pronoun)	Ampari	ké	k é
324	(3Pl all-purpose independent pronoun)	Bunoge	àyⁿá	à j̃ á
325	(3Pl all-purpose independent pronoun)	Penange	ŋké	ŋ k é
326	(3Pl all-purpose independent pronoun)	Tiranige	cè	tʃ è
327	(3Pl all-purpose independent pronoun)	Tiranige	céwⁿ	tʃ é w̃
328	(3Pl all-purpose independent pronoun)	Yanda_Dom	bó	b ó
329	(3Pl all-purpose independent pronoun)	Dogul_Dom	bé	b é
330	(3Pl all-purpose independent pronoun)	Donno_So	bé	b é
331	(3Pl all-purpose possessor)	Ampari	kè	k è
332	(3Pl all-purpose possessor)	Bunoge	âŋ	â ŋ
333	(3Pl all-purpose possessor)	Togo_Kan	bé	b é
334	(3Pl all-purpose possessor)	Tomo_Kan_Segue	bò	b ò
335	(3Pl all-purpose subject pronominal)	Tomo_Kan_Segue	ɛ:	ɛː
336	(3Pl all-purpose subject pronominal)	Tomo_Kan_Diangassagou	bò	b ò
337	(3Pl animate [including human] pronoun)	Ben_Tey	bû:	b ûː
338	(3Pl animate [including human] pronoun)	Najamba	bé	b é
339	(3Pl animate [including human] pronoun)	Nanga	bû:	b ûː
340	(3Pl animate [including human] pronoun)	Tebul_Ure	bú	b ú
341	(3Pl animate all-purpose possessor)	Ben_Tey	bû:	b ûː
342	(3Pl animate all-purpose possessor)	Najamba	bé	b é
343	(3Pl animate all-purpose possessor)	Najamba	bɛ́ bɔ̀	b ɛ́ # b ɔ̀
344	(3Pl animate all-purpose possessor)	Najamba	bɛ́ yɛ̀	b ɛ́ # j ɛ̀
345	(3Pl human alienable possessor, all forms)	Perge_Tegu	bé	b é
346	(3Pl human alienable possessor, all forms)	Yorno_So	bèmɛ̀	b è m ɛ̀
347	(3Pl human all-purpose possessor)	Toro_Tegu	bɛ̀	b ɛ̀
348	(3Pl human inalienable possessor)	Perge_Tegu	bè	b è
349	(3Pl human inalienable possessor)	Yorno_So	bé	b é
350	(3Pl human pronoun)	Jamsay_Douentza	bé	b é
351	(3Pl human pronoun)	Perge_Tegu	bé	b é
352	(3Pl human pronoun)	Togo_Kan	bé	b é
353	(3Pl human pronoun)	Tomo_Kan_Segue	bó	b ó
354	(3Pl human pronoun)	Toro_Tegu	bé	b é
355	(3Pl human pronoun)	Yorno_So	bé	b é
356	(3Pl human subject pronominal)	Jamsay_Douentza	ba	b a
357	(3Pl human subject pronominal)	Perge_Tegu	bɔ̀	b ɔ̀
358	(3Pl human subject pronominal)	Togo_Kan	bé	b é
359	(3Pl human subject pronominal)	Toro_Tegu	=bɛ́	b ɛ́
360	(3Pl inanimate (subject pronominal)	Toro_Tegu	=kɛ́	k ɛ́
361	(3Pl inanimate (subject pronominal)	Toro_Tegu	=cɛ́	tʃ ɛ́
362	(3Pl inanimate all-purpose possessor)	Najamba	ké	k é
363	(3Pl inanimate all-purpose possessor)	Toro_Tegu	kɛ̀	k ɛ̀
364	(3Pl inanimate all-purpose possessor)	Toro_Tegu	cɛ̀	tʃ ɛ̀
365	(3Pl inanimate pronoun)	Najamba	ké	k é
366	(3Pl inanimate pronoun)	Nanga	kû:	k ûː
367	(3Pl inanimate pronoun)	Tebul_Ure	yí	j í
368	(3Pl inanimate pronoun)	Tomo_Kan_Segue	kó wé	k ó # w é
369	(3Pl inanimate pronoun)	Toro_Tegu	ké	k é
370	(3Pl inanimate pronoun)	Toro_Tegu	cé	tʃ é
371	(3Sg all-purpose alienable possessor)	Tebul_Ure	kɔ̀ń	k ɔ̀ ń
372	(3Sg all-purpose alienable possessor)	Tiranige	nɛ̀wɛ́	n ɛ̀ w ɛ́
373	(3Sg all-purpose alienable possessor)	Yanda_Dom	nɛ̂:ⁿ	n ɛ̃̂ː
374	(3Sg all-purpose alienable possessor)	Donno_So	wò-mɔ̀	w ò m ɔ̀
375	(3Sg all-purpose inalienable possessor)	Tebul_Ure	ń	ń
376	(3Sg all-purpose inalienable possessor)	Tiranige	nà	n à
377	(3Sg all-purpose inalienable possessor)	Yanda_Dom	nà	n à
378	(3Sg all-purpose inalienable possessor)	Donno_So	wó	w ó
379	(3Sg all-purpose independent pronoun)	Ampari	á	á
380	(3Sg all-purpose independent pronoun)	Bangime	mì	m ì
381	(3Sg all-purpose independent pronoun)	Bankan_Tey	ɛ́rⁿɛ́	ɛ́ r̃ ɛ́
382	(3Sg all-purpose independent pronoun)	Bunoge	ǎwⁿ	ǎ w̃
383	(3Sg all-purpose independent pronoun)	Dogul_Dom	í	í
384	(3Sg all-purpose independent pronoun)	Jamsay_Mondoro	ú	ú
385	(3Sg all-purpose independent pronoun)	Mombo	ɛ́:	ɛ́ː
386	(3Sg all-purpose independent pronoun)	Penange	ɔ̀nɔ̀	ɔ̀ n ɔ̀
387	(3Sg all-purpose independent pronoun)	Sangha_So	wó	w ó
388	(3Sg all-purpose independent pronoun)	Tommo_So	wó	w ó
389	(3Sg all-purpose independent pronoun)	Yanda_Dom	ná	n á
390	(3Sg all-purpose independent pronoun)	Donno_So	wó	w ó
391	(3Sg all-purpose possessor)	Ampari	nà	n à
392	(3Sg all-purpose possessor)	Bunoge	nà	n à
393	(3Sg all-purpose possessor)	Nanga	nɔ̀	n ɔ̀
394	(3Sg all-purpose possessor)	Penange	ná	n á
395	(3Sg all-purpose possessor)	Penange	nà	n à
396	(3Sg all-purpose subject pronominal)	Ampari	á	á
397	(3Sg animate [including human] pronoun)	Ben_Tey	ɛ́rⁿɛ́	ɛ́ r̃ ɛ́
398	(3Sg animate [including human] pronoun)	Najamba	mó	m ó
399	(3Sg animate [including human] pronoun)	Nanga	ńnɛ́	ń n ɛ́
400	(3Sg animate [including human] pronoun)	Tebul_Ure	ńnè	ń n è
