ID,CONCEPT,DOCULECT,COUNTERPART
84,"(1Sg accusative, irregular only)",Togo_Kan,má
85,"(1Sg accusative, irregular only)",Tomo_Kan_Segue,mìní
86,"(1Sg accusative, irregular only)",Yorno_So,míỳ
87,"(1Sg alienable possessor, all forms)",Jamsay_Douentza,má
88,"(1Sg alienable possessor, all forms)",Perge_Tegu,má
89,"(1Sg alienable possessor, all forms)",Tebul_Ure,kɔ̌:
90,"(1Sg alienable possessor, all forms)",Tiranige,mɛ̀:
91,"(1Sg alienable possessor, all forms)",Tiranige,mɛ̌:
92,"(1Sg alienable possessor, all forms)",Yanda_Dom,míyⁿɛ̀
93,"(1Sg alienable possessor, all forms)",Yorno_So,mɔ̀
94,"(1Sg alienable possessor, all forms)",Donno_So,m̀-mɔ̀
95,(1Sg all-purpose possessor),Ampari,ǹ
96,(1Sg all-purpose possessor),Bunoge,ŋ̀
97,(1Sg all-purpose possessor),Najamba,mí
98,(1Sg all-purpose possessor),Najamba,mí bɔ̀
99,(1Sg all-purpose possessor),Najamba,mí yɛ̀
100,(1Sg all-purpose possessor),Nanga,yɛ᷈:
101,(1Sg all-purpose possessor),Nanga,kɔ᷈:
102,(1Sg all-purpose possessor),Penange,ḿ
103,(1Sg all-purpose possessor),Penange,m̀
104,(1Sg all-purpose possessor),Togo_Kan,mà
105,(1Sg all-purpose possessor),Tomo_Kan_Segue,ǹ
106,(1Sg all-purpose possessor),Toro_Tegu,m̀
107,(1Sg dative (irregular),Jamsay_Douentza,mìń
108,(1Sg dative (irregular),Najamba,ḿ mà
109,(1Sg dative (irregular),Nanga,bàrⁿí
110,(1Sg dative (irregular),Perge_Tegu,mìrⁿú
111,(1Sg dative (irregular),Togo_Kan,máǹ
112,(1Sg dative (irregular),Tomo_Kan_Segue,ǹdó
113,(1Sg inalienable possessor),Jamsay_Douentza,mì
114,(1Sg inalienable possessor),Perge_Tegu,mì
115,(1Sg inalienable possessor),Tebul_Ure,mí
116,(1Sg inalienable possessor),Tiranige,mì
117,(1Sg inalienable possessor),Yanda_Dom,mì
118,(1Sg inalienable possessor),Yorno_So,mú
119,(1Sg inalienable possessor),Donno_So,mí
120,(1Sg independent pronoun),Ampari,mi
121,(1Sg independent pronoun),Bangime,mí
122,(1Sg independent pronoun),Bankan_Tey,í
123,(1Sg independent pronoun),Ben_Tey,í
124,(1Sg independent pronoun),Bunoge,mì
125,(1Sg independent pronoun),Dogul_Dom,mí
126,(1Sg independent pronoun),Jamsay_Douentza,mí
127,(1Sg independent pronoun),Jamsay_Mondoro,mí
128,(1Sg independent pronoun),Mombo,mí:
129,(1Sg independent pronoun),Najamba,mí
130,(1Sg independent pronoun),Nanga,ǐ:ⁿ
131,(1Sg independent pronoun),Penange,mí
132,(1Sg independent pronoun),Perge_Tegu,mí
133,(1Sg independent pronoun),Sangha_So,mú
134,(1Sg independent pronoun),Tebul_Ure,mí
135,(1Sg independent pronoun),Tiranige,mì
136,(1Sg independent pronoun),Tiranige,míwⁿ
137,(1Sg independent pronoun),Togo_Kan,íⁿ
138,(1Sg independent pronoun),Tommo_So,mí
139,(1Sg independent pronoun),Tomo_Kan_Diangassagou,mí
140,(1Sg independent pronoun),Tomo_Kan_Segue,mí
141,(1Sg independent pronoun),Toro_Tegu,mí
142,(1Sg independent pronoun),Toro_Tegu,m̀ᵇí
143,(1Sg independent pronoun),Yanda_Dom,mí
144,(1Sg independent pronoun),Yorno_So,mú
145,(1Sg independent pronoun),Donno_So,mí
146,(1Sg subject pronominal),Ampari,ǹ
147,(1Sg subject pronominal),Ben_Tey,ỳ
148,(1Sg subject pronominal),Bunoge,ŋ̀
149,(1Sg subject pronominal),Jamsay_Douentza,m
150,(1Sg subject pronominal),Najamba,m
151,(1Sg subject pronominal),Nanga,ỳ
152,(1Sg subject pronominal),Penange,ŋ́
153,(1Sg subject pronominal),Perge_Tegu,m
154,(1Sg subject pronominal),Tebul_Ure,m
155,(1Sg subject pronominal),Tiranige,yⁿ
156,(1Sg subject pronominal),Togo_Kan,í
157,(1Sg subject pronominal),Tomo_Kan_Segue,ìⁿ
158,(1Sg subject pronominal),Toro_Tegu,m̀
159,(1Sg subject pronominal),Yanda_Dom,m
160,(1Sg subject pronominal),Yorno_So,m
161,(1Sg subject pronominal),Mombo,N-
162,(1Sg subject pronominal),Tomo_Kan_Diangassagou,ìⁿ 
163,(1Sg subject pronominal),Tomo_Kan_Diangassagou, ŋ̀
164,(1Sg subject pronominal),Tomo_Kan_Diangassagou,mí-
165,(1Sg subject pronominal),Donno_So,-ŋ
166,(1Sg subject pronominal),Donno_So,-m
167,"(2Pl alienable possessor, all forms)",Jamsay_Douentza,é
168,"(2Pl alienable possessor, all forms)",Nanga,û: gɔ̀
169,"(2Pl alienable possessor, all forms)",Nanga,û: yɛ̀
170,"(2Pl alienable possessor, all forms)",Perge_Tegu,é
171,"(2Pl alienable possessor, all forms)",Tebul_Ure,bígɛ̀
172,"(2Pl alienable possessor, all forms)",Tebul_Ure,bígɛ̀mbɔ̀
173,"(2Pl alienable possessor, all forms)",Tiranige,ɛ̀wɛ́
174,"(2Pl alienable possessor, all forms)",Tiranige,ɛ̀wɛ̀
175,"(2Pl alienable possessor, all forms)",Yanda_Dom,wɛ̂:ⁿ
176,"(2Pl alienable possessor, all forms)",Yorno_So,ɛ̀:
177,"(2Pl alienable possessor, all forms)",Donno_So,è-mɔ̀
178,(2Pl all-purpose possessor),Ampari,é
179,(2Pl all-purpose possessor),Ben_Tey,û:
180,(2Pl all-purpose possessor),Bunoge,á
181,(2Pl all-purpose possessor),Najamba,é
182,(2Pl all-purpose possessor),Najamba,ɛ́ bɔ̀
183,(2Pl all-purpose possessor),Najamba,ɛ́ yɛ̀
184,(2Pl all-purpose possessor),Penange,àbè
185,(2Pl all-purpose possessor),Togo_Kan,é
186,(2Pl all-purpose possessor),Tomo_Kan_Segue,è
187,(2Pl all-purpose possessor),Toro_Tegu,á
188,(2Pl inalienable possessor),Jamsay_Douentza,è
189,(2Pl inalienable possessor),Nanga,û:
190,(2Pl inalienable possessor),Perge_Tegu,è
191,(2Pl inalienable possessor),Tebul_Ure,bí
192,(2Pl inalienable possessor),Tiranige,è
193,(2Pl inalienable possessor),Yanda_Dom,wò
194,(2Pl inalienable possessor),Yorno_So,é
195,(2Pl inalienable possessor),Donno_So,é
196,(2Pl independent pronoun),Ampari,é
197,(2Pl independent pronoun),Ben_Tey,û:
198,(2Pl independent pronoun),Bunoge,òyá
199,(2Pl independent pronoun),Jamsay_Douentza,é
200,(2Pl independent pronoun),Najamba,é
201,(2Pl independent pronoun),Nanga,û:
202,(2Pl independent pronoun),Penange,ábé
203,(2Pl independent pronoun),Perge_Tegu,é
204,(2Pl independent pronoun),Tebul_Ure,bí
205,(2Pl independent pronoun),Tiranige,è
206,(2Pl independent pronoun),Tiranige,éwⁿ
207,(2Pl independent pronoun),Togo_Kan,é
208,(2Pl independent pronoun),Tomo_Kan_Segue,é
209,(2Pl independent pronoun),Toro_Tegu,á
210,(2Pl independent pronoun),Yanda_Dom,wó
211,(2Pl independent pronoun),Yorno_So,é
212,(2Pl independent pronoun),Dogul_Dom,é
213,(2Pl independent pronoun),Donno_So,é
214,(2Pl subject pronominal),Ampari,è
215,(2Pl subject pronominal),Ben_Tey,ẁ∴
216,(2Pl subject pronominal),Bunoge,á
217,(2Pl subject pronominal),Jamsay_Douentza,bè
218,(2Pl subject pronominal),Najamba,e:
219,(2Pl subject pronominal),Najamba,ɛ:
220,(2Pl subject pronominal),Nanga,ẁ∴
221,(2Pl subject pronominal),Penange,à
222,(2Pl subject pronominal),Perge_Tegu,bè
223,(2Pl subject pronominal),Tebul_Ure,yⁿ
224,(2Pl subject pronominal),Tiranige,é
225,(2Pl subject pronominal),Tiranige,è
226,(2Pl subject pronominal),Togo_Kan,é
227,(2Pl subject pronominal),Tomo_Kan_Segue,è
228,(2Pl subject pronominal),Toro_Tegu,á
229,(2Pl subject pronominal),Yanda_Dom,y
230,(2Pl subject pronominal),Yorno_So,y
231,(2Pl subject pronominal),Mombo,e-
232,(2Pl subject pronominal),Tomo_Kan_Diangassagou,è
233,(2Pl subject pronominal),Donno_So,-ŋ̀
234,(2Pl subject pronominal),Donno_So,-ʸŋ̀
235,"(2Sg alienable possessor, all forms)",Jamsay_Douentza,ú
236,"(2Sg alienable possessor, all forms)",Nanga,ú gɔ̀
237,"(2Sg alienable possessor, all forms)",Nanga,ú yɛ̂
238,"(2Sg alienable possessor, all forms)",Perge_Tegu,ú
239,"(2Sg alienable possessor, all forms)",Tebul_Ure,úwɔ̀
240,"(2Sg alienable possessor, all forms)",Tebul_Ure,úwɔ̀mbɔ̀
241,"(2Sg alienable possessor, all forms)",Tiranige,ɔ̀wɛ́
242,"(2Sg alienable possessor, all forms)",Tiranige,ɔ̀wɛ̀
243,"(2Sg alienable possessor, all forms)",Yanda_Dom,ɔ́yⁿɛ̀
244,"(2Sg alienable possessor, all forms)",Yorno_So,ɔ̀:
245,"(2Sg alienable possessor, all forms)",Donno_So,ù-mɔ̀
246,(2Sg all-purpose possessor),Ampari,ó
247,(2Sg all-purpose possessor),Ben_Tey,ú
248,(2Sg all-purpose possessor),Bunoge,à
249,(2Sg all-purpose possessor),Najamba,ó
250,(2Sg all-purpose possessor),Najamba,ɔ́ bɔ̀
251,(2Sg all-purpose possessor),Najamba,ɔ́ yɛ̀
252,(2Sg all-purpose possessor),Penange,á
253,(2Sg all-purpose possessor),Penange,à
254,(2Sg all-purpose possessor),Togo_Kan,ú
255,(2Sg all-purpose possessor),Tomo_Kan_Segue,à
256,(2Sg all-purpose possessor),Toro_Tegu,ú
257,(2Sg inalienable possessor),Jamsay_Douentza,ù
258,(2Sg inalienable possessor),Nanga,ú
259,(2Sg inalienable possessor),Perge_Tegu,ù
260,(2Sg inalienable possessor),Tebul_Ure,ú
261,(2Sg inalienable possessor),Tiranige,ò
262,(2Sg inalienable possessor),Yanda_Dom,ó
263,(2Sg inalienable possessor),Yorno_So,ú
264,(2Sg inalienable possessor),Donno_So,ú
265,(2Sg independent pronoun),Ampari,ó
266,(2Sg independent pronoun),Bangime,à
267,(2Sg independent pronoun),Bankan_Tey,ú
268,(2Sg independent pronoun),Ben_Tey,ú
269,(2Sg independent pronoun),Bunoge,ò
270,(2Sg independent pronoun),Dogul_Dom,ó
271,(2Sg independent pronoun),Jamsay_Douentza,ú
272,(2Sg independent pronoun),Jamsay_Mondoro,í
273,(2Sg independent pronoun),Mombo,ó:
274,(2Sg independent pronoun),Najamba,ó
275,(2Sg independent pronoun),Nanga,ú
276,(2Sg independent pronoun),Penange,ó
277,(2Sg independent pronoun),Perge_Tegu,ú
278,(2Sg independent pronoun),Sangha_So,ú
279,(2Sg independent pronoun),Tebul_Ure,ú
280,(2Sg independent pronoun),Tiranige,ò
281,(2Sg independent pronoun),Tiranige,ó:
282,(2Sg independent pronoun),Togo_Kan,ú
283,(2Sg independent pronoun),Tommo_So,ú
284,(2Sg independent pronoun),Tomo_Kan_Diangassagou,á
285,(2Sg independent pronoun),Tomo_Kan_Segue,á
286,(2Sg independent pronoun),Toro_Tegu,ú
287,(2Sg independent pronoun),Yanda_Dom,ó
288,(2Sg independent pronoun),Yorno_So,ú
289,(2Sg independent pronoun),Donno_So,ú
290,(2Sg subject pronominal),Ampari,ò
291,(2Sg subject pronominal),Ben_Tey,ẁ
292,(2Sg subject pronominal),Bunoge,à
293,(2Sg subject pronominal),Jamsay_Douentza,w
294,(2Sg subject pronominal),Najamba,o:
295,(2Sg subject pronominal),Najamba,ɔ:
296,(2Sg subject pronominal),Nanga,ẁ
297,(2Sg subject pronominal),Penange,á
298,(2Sg subject pronominal),Perge_Tegu,w
299,(2Sg subject pronominal),Tebul_Ure,wⁿ
300,(2Sg subject pronominal),Tiranige,w
301,(2Sg subject pronominal),Togo_Kan,ú
302,(2Sg subject pronominal),Tomo_Kan_Segue,à
303,(2Sg subject pronominal),Toro_Tegu,ú
304,(2Sg subject pronominal),Yanda_Dom,w
305,(2Sg subject pronominal),Yorno_So,w
306,(2Sg subject pronominal),Mombo,a-
307,(2Sg subject pronominal),Tomo_Kan_Diangassagou,bè
308,(2Sg subject pronominal),Donno_So,-ẁ
309,(3Pl all-purpose alienable possessor),Jamsay_Douentza,bé
310,(3Pl all-purpose alienable possessor),Nanga,bû: gɔ̀
311,(3Pl all-purpose alienable possessor),Nanga,bû: yɛ̀
312,(3Pl all-purpose alienable possessor),Tebul_Ure,búgɔ̀
313,(3Pl all-purpose alienable possessor),Tebul_Ure,búgɔ̀mbɔ̀
314,(3Pl all-purpose alienable possessor),Tiranige,cɛ̀wɛ́
315,(3Pl all-purpose alienable possessor),Yanda_Dom,bwɛ̂:ⁿ
316,(3Pl all-purpose alienable possessor),Donno_So,bè-mɔ̀
317,(3Pl all-purpose inalienable possessor),Jamsay_Douentza,bè
318,(3Pl all-purpose inalienable possessor),Nanga,bû:
319,(3Pl all-purpose inalienable possessor),Tebul_Ure,bú
320,(3Pl all-purpose inalienable possessor),Tiranige,cè
321,(3Pl all-purpose inalienable possessor),Yanda_Dom,bò
322,(3Pl all-purpose inalienable possessor),Donno_So,bé
323,(3Pl all-purpose independent pronoun),Ampari,ké
324,(3Pl all-purpose independent pronoun),Bunoge,àyⁿá
325,(3Pl all-purpose independent pronoun),Penange,ŋké
326,(3Pl all-purpose independent pronoun),Tiranige,cè
327,(3Pl all-purpose independent pronoun),Tiranige,céwⁿ
328,(3Pl all-purpose independent pronoun),Yanda_Dom,bó
329,(3Pl all-purpose independent pronoun),Dogul_Dom,bé
330,(3Pl all-purpose independent pronoun),Donno_So,bé
331,(3Pl all-purpose possessor),Ampari,kè
332,(3Pl all-purpose possessor),Bunoge,âŋ
333,(3Pl all-purpose possessor),Togo_Kan,bé
334,(3Pl all-purpose possessor),Tomo_Kan_Segue,bò
335,(3Pl all-purpose subject pronominal),Tomo_Kan_Segue,ɛ:
336,(3Pl all-purpose subject pronominal),Tomo_Kan_Diangassagou,bò
337,(3Pl animate [including human] pronoun),Ben_Tey,bû:
338,(3Pl animate [including human] pronoun),Najamba,bé
339,(3Pl animate [including human] pronoun),Nanga,bû:
340,(3Pl animate [including human] pronoun),Tebul_Ure,bú
341,(3Pl animate all-purpose possessor),Ben_Tey,bû:
342,(3Pl animate all-purpose possessor),Najamba,bé
343,(3Pl animate all-purpose possessor),Najamba,bɛ́ bɔ̀
344,(3Pl animate all-purpose possessor),Najamba,bɛ́ yɛ̀
345,"(3Pl human alienable possessor, all forms)",Perge_Tegu,bé
346,"(3Pl human alienable possessor, all forms)",Yorno_So,bèmɛ̀
347,(3Pl human all-purpose possessor),Toro_Tegu,bɛ̀
348,(3Pl human inalienable possessor),Perge_Tegu,bè
349,(3Pl human inalienable possessor),Yorno_So,bé
350,(3Pl human pronoun),Jamsay_Douentza,bé
351,(3Pl human pronoun),Perge_Tegu,bé
352,(3Pl human pronoun),Togo_Kan,bé
353,(3Pl human pronoun),Tomo_Kan_Segue,bó
354,(3Pl human pronoun),Toro_Tegu,bé
355,(3Pl human pronoun),Yorno_So,bé
356,(3Pl human subject pronominal),Jamsay_Douentza,ba
357,(3Pl human subject pronominal),Perge_Tegu,bɔ̀
358,(3Pl human subject pronominal),Togo_Kan,bé
359,(3Pl human subject pronominal),Toro_Tegu,=bɛ́
360,(3Pl inanimate (subject pronominal),Toro_Tegu,=kɛ́
361,(3Pl inanimate (subject pronominal),Toro_Tegu,=cɛ́
362,(3Pl inanimate all-purpose possessor),Najamba,ké
363,(3Pl inanimate all-purpose possessor),Toro_Tegu,kɛ̀
364,(3Pl inanimate all-purpose possessor),Toro_Tegu,cɛ̀
365,(3Pl inanimate pronoun),Najamba,ké
366,(3Pl inanimate pronoun),Nanga,kû:
367,(3Pl inanimate pronoun),Tebul_Ure,yí
368,(3Pl inanimate pronoun),Tomo_Kan_Segue,kó wé
369,(3Pl inanimate pronoun),Toro_Tegu,ké
370,(3Pl inanimate pronoun),Toro_Tegu,cé
371,(3Sg all-purpose alienable possessor),Tebul_Ure,kɔ̀ń
372,(3Sg all-purpose alienable possessor),Tiranige,nɛ̀wɛ́
373,(3Sg all-purpose alienable possessor),Yanda_Dom,nɛ̂:ⁿ
374,(3Sg all-purpose alienable possessor),Donno_So,wò-mɔ̀
375,(3Sg all-purpose inalienable possessor),Tebul_Ure,ń
376,(3Sg all-purpose inalienable possessor),Tiranige,nà
377,(3Sg all-purpose inalienable possessor),Yanda_Dom,nà
378,(3Sg all-purpose inalienable possessor),Donno_So,wó
379,(3Sg all-purpose independent pronoun),Ampari,á
380,(3Sg all-purpose independent pronoun),Bangime,mì
381,(3Sg all-purpose independent pronoun),Bankan_Tey,ɛ́rⁿɛ́
382,(3Sg all-purpose independent pronoun),Bunoge,ǎwⁿ
383,(3Sg all-purpose independent pronoun),Dogul_Dom,í
384,(3Sg all-purpose independent pronoun),Jamsay_Mondoro,ú
385,(3Sg all-purpose independent pronoun),Mombo,ɛ́:
386,(3Sg all-purpose independent pronoun),Penange,ɔ̀nɔ̀
387,(3Sg all-purpose independent pronoun),Sangha_So,wó
388,(3Sg all-purpose independent pronoun),Tommo_So,wó
389,(3Sg all-purpose independent pronoun),Yanda_Dom,ná
390,(3Sg all-purpose independent pronoun),Donno_So,wó
391,(3Sg all-purpose possessor),Ampari,nà
392,(3Sg all-purpose possessor),Bunoge,nà
393,(3Sg all-purpose possessor),Nanga,nɔ̀
394,(3Sg all-purpose possessor),Penange,ná
395,(3Sg all-purpose possessor),Penange,nà
396,(3Sg all-purpose subject pronominal),Ampari,á
397,(3Sg animate [including human] pronoun),Ben_Tey,ɛ́rⁿɛ́
398,(3Sg animate [including human] pronoun),Najamba,mó
399,(3Sg animate [including human] pronoun),Nanga,ńnɛ́
400,(3Sg animate [including human] pronoun),Tebul_Ure,ńnè
401,(3Sg animate all-purpose possessor),Ben_Tey,ɛ́rⁿɛ́
402,(3Sg animate all-purpose possessor),Najamba,mó
403,(3Sg animate all-purpose possessor),Najamba,mɔ́ bɔ̀
404,(3Sg animate all-purpose possessor),Najamba,mɔ́ yɛ̀
405,"(3Sg human alienable possessor, all forms)",Jamsay_Douentza,wó
406,"(3Sg human alienable possessor, all forms)",Perge_Tegu,wó
407,"(3Sg human alienable possessor, all forms)",Yorno_So,wòmɔ̀
408,(3Sg human all-purpose possessor),Togo_Kan,wó
409,(3Sg human all-purpose possessor),Tomo_Kan_Segue,wò
410,(3Sg human all-purpose possessor),Toro_Tegu,wɔ̀
411,(3Sg human inalienable possessor),Jamsay_Douentza,wò
412,(3Sg human inalienable possessor),Perge_Tegu,wò
413,(3Sg human inalienable possessor),Yorno_So,wó
414,(3Sg human pronoun),Jamsay_Douentza,wó
415,(3Sg human pronoun),Perge_Tegu,wó
416,(3Sg human pronoun),Tiranige,nà
417,(3Sg human pronoun),Tiranige,náwⁿ
418,(3Sg human pronoun),Togo_Kan,wó
419,(3Sg human pronoun),Tomo_Kan_Segue,wó
420,(3Sg human pronoun),Toro_Tegu,wó
421,(3Sg human pronoun),Yorno_So,wó
422,(3Sg human subject pronominal),Togo_Kan,wó
423,(3Sg human subject pronominal),Toro_Tegu,wɔ́
424,(3Sg human subject pronominal),Tomo_Kan_Diangassagou,wò
425,"(3Sg inanimate alienable possessor, all forms)",Jamsay_Douentza,kó
426,(3Sg inanimate all-purpose possessor),Ben_Tey,kú
427,(3Sg inanimate all-purpose possessor),Najamba,kó
428,(3Sg inanimate all-purpose possessor),Tomo_Kan_Segue,kò
429,(3Sg inanimate all-purpose possessor),Toro_Tegu,kɔ̀
430,(3Sg inanimate inalienable possessor),Jamsay_Douentza,kò
431,(3Sg inanimate pronoun),Ben_Tey,kú
432,(3Sg inanimate pronoun),Jamsay_Douentza,kɔ́
433,(3Sg inanimate pronoun),Najamba,kó
434,(3Sg inanimate pronoun),Nanga,kú
435,(3Sg inanimate pronoun),Perge_Tegu,kó
436,(3Sg inanimate pronoun),Tebul_Ure,kú
437,(3Sg inanimate pronoun),Togo_Kan,kó
438,(3Sg inanimate pronoun),Tomo_Kan_Segue,kó
439,(3Sg inanimate pronoun),Toro_Tegu,kó
440,(3Sg inanimate pronoun),Yanda_Dom,kó
441,(3Sg inanimate pronoun),Donno_So,kó
442,(3Sg inanimate subject pronominal),Jamsay_Douentza,kɔ
443,(3Sg inanimate subject pronominal),Togo_Kan,kó
444,(3Sg inanimate subject pronominal),Toro_Tegu,=kɔ́
445,(3Sg inanimate subject pronominal),Tomo_Kan_Diangassagou,kò
446,(Accusative),Ampari,gí
447,(Accusative),Ben_Tey,=ǹ
448,(Accusative),Ben_Tey,=nì
449,(Accusative),Bunoge,ŋgù
450,(Accusative),Najamba,gì
451,(Accusative),Nanga,ŋ
452,(Accusative),Penange,ŋ
453,(Accusative),Tebul_Ure,gì
454,(Accusative),Tiranige,gì
455,(Accusative),Tomo_Kan_Segue,lí
456,(Accusative),Yanda_Dom,ì:
457,(Accusative),Yanda_Dom,ỳ
458,(Accusative),Yorno_So,ỳ
459,(Accusative),Dogul_Dom,=ỳ
460,(Accusative),Donno_So,=ŋ
461,(adjectival class suffixes if different from nouns),Ampari,bó
462,(adjectival class suffixes if different from nouns),Ben_Tey,w
463,(adjectival class suffixes if different from nouns),Tebul_Ure,go
464,(adjectival class suffixes if different from nouns),Tebul_Ure,gɔ
465,(adjectival class suffixes if different from nouns),Tebul_Ure,ŋgo
466,(adjectival class suffixes if different from nouns),Tebul_Ure,ŋgɔ
467,"(animate plural suffix including human, nouns)",Najamba,mbo
468,"(animate plural suffix including human, nouns)",Tebul_Ure,mbo
469,"(animate plural suffix including human, nouns)",Tebul_Ure,mbɔ
470,"(animate plural suffix including human, nouns)",Yanda_Dom,mù
471,"(animate singular suffix including humans, nouns)",Bankan_Tey,m
472,"(animate singular suffix including humans, nouns)",Ben_Tey,m
473,"(animate singular suffix including humans, nouns)",Nanga,ŋ
474,"(causative suffix, with minor variants parenthesized)",Ampari,mi
475,"(causative suffix, with minor variants parenthesized)",Ben_Tey,wv́
476,"(causative suffix, with minor variants parenthesized)",Bunoge,mì
477,"(causative suffix, with minor variants parenthesized)",Jamsay_Douentza,wv́
478,"(causative suffix, with minor variants parenthesized)",Najamba,m
479,"(causative suffix, with minor variants parenthesized)",Nanga,mí
480,"(causative suffix, with minor variants parenthesized)",Penange,mì
481,"(causative suffix, with minor variants parenthesized)",Perge_Tegu,wv́
482,"(causative suffix, with minor variants parenthesized)",Tebul_Ure,m
483,"(causative suffix, with minor variants parenthesized)",Tiranige,m
484,"(causative suffix, with minor variants parenthesized)",Togo_Kan,mv
485,"(causative suffix, with minor variants parenthesized)",Tomo_Kan_Segue,mí
486,"(causative suffix, with minor variants parenthesized)",Tomo_Kan_Segue,rí
487,"(causative suffix, with minor variants parenthesized)",Toro_Tegu,kv́
488,"(causative suffix, with minor variants parenthesized)",Toro_Tegu,mv́
489,"(causative suffix, with minor variants parenthesized)",Yanda_Dom,mɛ́
